id,newcode,newcode2,delete,ValLabNum,ValLabel,var2000_1,var2000_2,var2001_1,var2001_2,var2002_1,var2002_2,var2003_1,var2003_2,var2004_1,var2004_2,var2005_1,,,,,
12,gender,gender,,9,Unspecified,D_Gender_Feb2000,C_Gender_Sep2000,C_Gender_Feb2001,C_Gender_Sep2001,C_Gender_Feb2002,C_Gender_Sep2002,Gender_Mar2003,Gender_Sep2003,C_Gender,Gender,Gender,,,,,
13,age,age,,999,Unspecified,E_Age_Feb2000,D_Age_Sep2000,D_Age_Feb2001,D_Age_Sep2001,D_Age_Feb2002,D_Age_Sep2002,Age_Mar2003,Age_Sep2003,Age,Age,Age,,,,,
14,popgroup,popgroup,,1,African/Black,F_Race_Feb2000,E_Race_Sep2000,E_Race_Feb2001,E_Race_Sep2001,E_Race_Feb2002,E_Race_Sep2002,Popgrp_Mar2003,Popgrp_Sep2003,E_race,Popgrp,Popgrp,,,,,
14,popgroup,popgroup,,2,Coloured,F_Race_Feb2000,E_Race_Sep2000,E_Race_Feb2001,E_Race_Sep2001,E_Race_Feb2002,E_Race_Sep2002,Popgrp_Mar2003,Popgrp_Sep2003,E_race,Popgrp,Popgrp,,,,,
14,popgroup,popgroup,,3,Indian/Asian,F_Race_Feb2000,E_Race_Sep2000,E_Race_Feb2001,E_Race_Sep2001,E_Race_Feb2002,E_Race_Sep2002,Popgrp_Mar2003,Popgrp_Sep2003,E_race,Popgrp,Popgrp,,,,,
14,popgroup,popgroup,,4,White,F_Race_Feb2000,E_Race_Sep2000,E_Race_Feb2001,E_Race_Sep2001,E_Race_Feb2002,E_Race_Sep2002,Popgrp_Mar2003,Popgrp_Sep2003,E_race,Popgrp,Popgrp,,,,,
14,popgroup,popgroup,,5,Other,F_Race_Feb2000,E_Race_Sep2000,E_Race_Feb2001,E_Race_Sep2001,E_Race_Feb2002,E_Race_Sep2002,Popgrp_Mar2003,Popgrp_Sep2003,E_race,Popgrp,Popgrp,,,,,
14,popgroup,popgroup,,9,Unspecified,F_Race_Feb2000,E_Race_Sep2000,E_Race_Feb2001,E_Race_Sep2001,E_Race_Feb2002,E_Race_Sep2002,Popgrp_Mar2003,Popgrp_Sep2003,E_race,Popgrp,Popgrp,,,,,
15,marstat1,marstat1,,1,Never married,Q11aMari_Feb2000,,,,,,,,,,,,,,,
15,marstat1,marstat1,,2,Married or living together as husband and wife,Q11aMari_Feb2000,,,,,,,,,,,,,,,
15,marstat1,marstat1,,3,Widow/Widower,Q11aMari_Feb2000,,,,,,,,,,,,,,,
15,marstat1,marstat1,,4,Divorced or separated,Q11aMari_Feb2000,,,,,,,,,,,,,,,
15,marstat1,marstat1,,9,Unspecified,Q11aMari_Feb2000,,,,,,,,,,,,,,,
16,SpouseinHH,spouseinhh,,1,Yes,Q11bSpou_Feb2000,Q11bSpou_Sep2000,Q11bSpou_Feb2001,Q11bSpou_Sep2001,Q11bSpou_Feb2002,Q11bSpou_Sep2002,Q11bSpou_Mar2003,Q11bSpou_Sep2003,Q11bSpou,Q11bSpou,Q11bSpou,,,,,
16,SpouseinHH,spouseinhh,,2,No,Q11bSpou_Feb2000,Q11bSpou_Sep2000,Q11bSpou_Feb2001,Q11bSpou_Sep2001,Q11bSpou_Feb2002,Q11bSpou_Sep2002,Q11bSpou_Mar2003,Q11bSpou_Sep2003,Q11bSpou,Q11bSpou,Q11bSpou,,,,,
16,SpouseinHH,spouseinhh,,8,Not applicable,Q11bSpou_Feb2000,Q11bSpou_Sep2000,Q11bSpou_Feb2001,Q11bSpou_Sep2001,Q11bSpou_Feb2002,Q11bSpou_Sep2002,Q11bSpou_Mar2003,Q11bSpou_Sep2003,Q11bSpou,Q11bSpou,Q11bSpou,,,,,
16,SpouseinHH,spouseinhh,,9,Unspecified,Q11bSpou_Feb2000,Q11bSpou_Sep2000,Q11bSpou_Feb2001,Q11bSpou_Sep2001,Q11bSpou_Feb2002,Q11bSpou_Sep2002,Q11bSpou_Mar2003,Q11bSpou_Sep2003,Q11bSpou,Q11bSpou,Q11bSpou,,,,,
17,SpouseNum,spousenum,,88,Not applicable,Q11cPrsn_Feb2000,Q11cPsn_Sep2000,Q11cPsnn_Feb2001,Q11cPsnn_Sep2001,Q11cPsnn_Feb2002,Q11cPsnN_Sep2002,Q11cPsnN_Mar2003,Q11cPsnN_Sep2003,Q11cPsnN,Q11cPsnN,Q11cPsnN,,,,,
17,SpouseNum,spousenum,,99,Unspecified,Q11cPrsn_Feb2000,Q11cPsn_Sep2000,Q11cPsnn_Feb2001,Q11cPsnn_Sep2001,Q11cPsnn_Feb2002,Q11cPsnN_Sep2002,Q11cPsnN_Mar2003,Q11cPsnN_Sep2003,Q11cPsnN,Q11cPsnN,Q11cPsnN,,,,,
18,language,language,,1,Afrikaans,Q12HLang_Feb2000,Q12HLang_Sep2000,Q12HLang_Feb2001,Q12HLang_Sep2001,Q12HLang_Feb2002,Q12HLang_Sep2002,Q12HLang_Mar2003,Q12HLang_Sep2003,Q12HLang,Q12HLang,Q12HLang,,,,,
18,language,language,,2,English,Q12HLang_Feb2000,Q12HLang_Sep2000,Q12HLang_Feb2001,Q12HLang_Sep2001,Q12HLang_Feb2002,Q12HLang_Sep2002,Q12HLang_Mar2003,Q12HLang_Sep2003,Q12HLang,Q12HLang,Q12HLang,,,,,
18,language,language,,3,Isindebele/South Ndebele/North Ndebele,Q12HLang_Feb2000,Q12HLang_Sep2000,Q12HLang_Feb2001,Q12HLang_Sep2001,Q12HLang_Feb2002,Q12HLang_Sep2002,Q12HLang_Mar2003,Q12HLang_Sep2003,Q12HLang,Q12HLang,Q12HLang,,,,,
18,language,language,,4,Isixhosa/Xhosa,Q12HLang_Feb2000,Q12HLang_Sep2000,Q12HLang_Feb2001,Q12HLang_Sep2001,Q12HLang_Feb2002,Q12HLang_Sep2002,Q12HLang_Mar2003,Q12HLang_Sep2003,Q12HLang,Q12HLang,Q12HLang,,,,,
18,language,language,,5,Isizulu/Zulu,Q12HLang_Feb2000,Q12HLang_Sep2000,Q12HLang_Feb2001,Q12HLang_Sep2001,Q12HLang_Feb2002,Q12HLang_Sep2002,Q12HLang_Mar2003,Q12HLang_Sep2003,Q12HLang,Q12HLang,Q12HLang,,,,,
18,language,language,,6,Sepedi/Northern Sotho,Q12HLang_Feb2000,Q12HLang_Sep2000,Q12HLang_Feb2001,Q12HLang_Sep2001,Q12HLang_Feb2002,Q12HLang_Sep2002,Q12HLang_Mar2003,Q12HLang_Sep2003,Q12HLang,Q12HLang,Q12HLang,,,,,
18,language,language,,7,Sesotho/Southern Sotho/Sotho,Q12HLang_Feb2000,Q12HLang_Sep2000,Q12HLang_Feb2001,Q12HLang_Sep2001,Q12HLang_Feb2002,Q12HLang_Sep2002,Q12HLang_Mar2003,Q12HLang_Sep2003,Q12HLang,Q12HLang,Q12HLang,,,,,
18,language,language,,8,Setswana/Tswana,Q12HLang_Feb2000,Q12HLang_Sep2000,Q12HLang_Feb2001,Q12HLang_Sep2001,Q12HLang_Feb2002,Q12HLang_Sep2002,Q12HLang_Mar2003,Q12HLang_Sep2003,Q12HLang,Q12HLang,Q12HLang,,,,,
18,language,language,,9,Siswati/Swazi,Q12HLang_Feb2000,Q12HLang_Sep2000,Q12HLang_Feb2001,Q12HLang_Sep2001,Q12HLang_Feb2002,Q12HLang_Sep2002,Q12HLang_Mar2003,Q12HLang_Sep2003,Q12HLang,Q12HLang,Q12HLang,,,,,
18,language,language,,10,Tshivenda/Venda,Q12HLang_Feb2000,Q12HLang_Sep2000,Q12HLang_Feb2001,Q12HLang_Sep2001,Q12HLang_Feb2002,Q12HLang_Sep2002,Q12HLang_Mar2003,Q12HLang_Sep2003,Q12HLang,Q12HLang,Q12HLang,,,,,
18,language,language,,11,Xitsonga/Tsonga,Q12HLang_Feb2000,Q12HLang_Sep2000,Q12HLang_Feb2001,Q12HLang_Sep2001,Q12HLang_Feb2002,Q12HLang_Sep2002,Q12HLang_Mar2003,Q12HLang_Sep2003,Q12HLang,Q12HLang,Q12HLang,,,,,
18,language,language,,12,Other,Q12HLang_Feb2000,Q12HLang_Sep2000,Q12HLang_Feb2001,Q12HLang_Sep2001,Q12HLang_Feb2002,Q12HLang_Sep2002,Q12HLang_Mar2003,Q12HLang_Sep2003,Q12HLang,Q12HLang,Q12HLang,,,,,
18,language,language,,88,Not Applicable,Q12HLang_Feb2000,Q12HLang_Sep2000,Q12HLang_Feb2001,Q12HLang_Sep2001,Q12HLang_Feb2002,Q12HLang_Sep2002,Q12HLang_Mar2003,Q12HLang_Sep2003,Q12HLang,Q12HLang,Q12HLang,,,,,
18,language,language,,99,Unspecified,Q12HLang_Feb2000,Q12HLang_Sep2000,Q12HLang_Feb2001,Q12HLang_Sep2001,Q12HLang_Feb2002,Q12HLang_Sep2002,Q12HLang_Mar2003,Q12HLang_Sep2003,Q12HLang,Q12HLang,Q12HLang,,,,,
19,educhigh,educhigh,,0,No schooling,Q13aHiEd_Feb2000,Q13aHiEd_Sep2000,Q13aHiEd_Feb2001,Q13aHiEd_Sep2001,Q13aHiEd_Feb2002,Q13aHiEd_Sep2002,Q13aHiEd_Mar2003,Q16aHiEd_Sep2003,Q13aHiEd,,,,,,,
19,educhigh,educhigh,,1,Grade R/0,Q13aHiEd_Feb2000,Q13aHiEd_Sep2000,Q13aHiEd_Feb2001,Q13aHiEd_Sep2001,Q13aHiEd_Feb2002,Q13aHiEd_Sep2002,Q13aHiEd_Mar2003,Q16aHiEd_Sep2003,Q13aHiEd,,,,,,,
19,educhigh,educhigh,,2,Sub A/Grade 1,Q13aHiEd_Feb2000,Q13aHiEd_Sep2000,Q13aHiEd_Feb2001,Q13aHiEd_Sep2001,Q13aHiEd_Feb2002,Q13aHiEd_Sep2002,Q13aHiEd_Mar2003,Q16aHiEd_Sep2003,Q13aHiEd,,,,,,,
19,educhigh,educhigh,,3,Sub B/Grade 2,Q13aHiEd_Feb2000,Q13aHiEd_Sep2000,Q13aHiEd_Feb2001,Q13aHiEd_Sep2001,Q13aHiEd_Feb2002,Q13aHiEd_Sep2002,Q13aHiEd_Mar2003,Q16aHiEd_Sep2003,Q13aHiEd,,,,,,,
19,educhigh,educhigh,,4,Grade 3/Standard 1,Q13aHiEd_Feb2000,Q13aHiEd_Sep2000,Q13aHiEd_Feb2001,Q13aHiEd_Sep2001,Q13aHiEd_Feb2002,Q13aHiEd_Sep2002,Q13aHiEd_Mar2003,Q16aHiEd_Sep2003,Q13aHiEd,,,,,,,
19,educhigh,educhigh,,5,Grade 4/Standard 2,Q13aHiEd_Feb2000,Q13aHiEd_Sep2000,Q13aHiEd_Feb2001,Q13aHiEd_Sep2001,Q13aHiEd_Feb2002,Q13aHiEd_Sep2002,Q13aHiEd_Mar2003,Q16aHiEd_Sep2003,Q13aHiEd,,,,,,,
19,educhigh,educhigh,,6,Grade 5/Standard 3,Q13aHiEd_Feb2000,Q13aHiEd_Sep2000,Q13aHiEd_Feb2001,Q13aHiEd_Sep2001,Q13aHiEd_Feb2002,Q13aHiEd_Sep2002,Q13aHiEd_Mar2003,Q16aHiEd_Sep2003,Q13aHiEd,,,,,,,
19,educhigh,educhigh,,7,Grade 6/Standard 4,Q13aHiEd_Feb2000,Q13aHiEd_Sep2000,Q13aHiEd_Feb2001,Q13aHiEd_Sep2001,Q13aHiEd_Feb2002,Q13aHiEd_Sep2002,Q13aHiEd_Mar2003,Q16aHiEd_Sep2003,Q13aHiEd,,,,,,,
19,educhigh,educhigh,,8,Grade 7/Standard 5,Q13aHiEd_Feb2000,Q13aHiEd_Sep2000,Q13aHiEd_Feb2001,Q13aHiEd_Sep2001,Q13aHiEd_Feb2002,Q13aHiEd_Sep2002,Q13aHiEd_Mar2003,Q16aHiEd_Sep2003,Q13aHiEd,,,,,,,
19,educhigh,educhigh,,9,Grade 8/Standard 6/Form 1,Q13aHiEd_Feb2000,Q13aHiEd_Sep2000,Q13aHiEd_Feb2001,Q13aHiEd_Sep2001,Q13aHiEd_Feb2002,Q13aHiEd_Sep2002,Q13aHiEd_Mar2003,Q16aHiEd_Sep2003,Q13aHiEd,,,,,,,
19,educhigh,educhigh,,10,Grade 9/Standard 7/Form 2,Q13aHiEd_Feb2000,Q13aHiEd_Sep2000,Q13aHiEd_Feb2001,Q13aHiEd_Sep2001,Q13aHiEd_Feb2002,Q13aHiEd_Sep2002,Q13aHiEd_Mar2003,Q16aHiEd_Sep2003,Q13aHiEd,,,,,,,
19,educhigh,educhigh,,11,Grade 10/Standard 8/Form 3,Q13aHiEd_Feb2000,Q13aHiEd_Sep2000,Q13aHiEd_Feb2001,Q13aHiEd_Sep2001,Q13aHiEd_Feb2002,Q13aHiEd_Sep2002,Q13aHiEd_Mar2003,Q16aHiEd_Sep2003,Q13aHiEd,,,,,,,
19,educhigh,educhigh,,12,Grade 11/Standard 9/Form 4,Q13aHiEd_Feb2000,Q13aHiEd_Sep2000,Q13aHiEd_Feb2001,Q13aHiEd_Sep2001,Q13aHiEd_Feb2002,Q13aHiEd_Sep2002,Q13aHiEd_Mar2003,Q16aHiEd_Sep2003,Q13aHiEd,,,,,,,
19,educhigh,educhigh,,13,Grade 12/Standard 10/Form 5/Matric,Q13aHiEd_Feb2000,Q13aHiEd_Sep2000,Q13aHiEd_Feb2001,Q13aHiEd_Sep2001,Q13aHiEd_Feb2002,Q13aHiEd_Sep2002,Q13aHiEd_Mar2003,Q16aHiEd_Sep2003,Q13aHiEd,,,,,,,
19,educhigh,educhigh,,14,NTC l,Q13aHiEd_Feb2000,Q13aHiEd_Sep2000,Q13aHiEd_Feb2001,Q13aHiEd_Sep2001,Q13aHiEd_Feb2002,Q13aHiEd_Sep2002,Q13aHiEd_Mar2003,Q16aHiEd_Sep2003,Q13aHiEd,,,,,,,
19,educhigh,educhigh,,15,NTC II,Q13aHiEd_Feb2000,Q13aHiEd_Sep2000,Q13aHiEd_Feb2001,Q13aHiEd_Sep2001,Q13aHiEd_Feb2002,Q13aHiEd_Sep2002,Q13aHiEd_Mar2003,Q16aHiEd_Sep2003,Q13aHiEd,,,,,,,
19,educhigh,educhigh,,16,NTC III,Q13aHiEd_Feb2000,Q13aHiEd_Sep2000,Q13aHiEd_Feb2001,Q13aHiEd_Sep2001,Q13aHiEd_Feb2002,Q13aHiEd_Sep2002,Q13aHiEd_Mar2003,Q16aHiEd_Sep2003,Q13aHiEd,,,,,,,
19,educhigh,educhigh,,17,Diploma/Certificate with less than Grade 12/Std 10,Q13aHiEd_Feb2000,Q13aHiEd_Sep2000,Q13aHiEd_Feb2001,Q13aHiEd_Sep2001,Q13aHiEd_Feb2002,Q13aHiEd_Sep2002,Q13aHiEd_Mar2003,Q16aHiEd_Sep2003,Q13aHiEd,,,,,,,
19,educhigh,educhigh,,18,Diploma/Certificate with Grade 12/Std 10,Q13aHiEd_Feb2000,Q13aHiEd_Sep2000,Q13aHiEd_Feb2001,Q13aHiEd_Sep2001,Q13aHiEd_Feb2002,Q13aHiEd_Sep2002,Q13aHiEd_Mar2003,Q16aHiEd_Sep2003,Q13aHiEd,,,,,,,
19,educhigh,educhigh,,19,Degree,Q13aHiEd_Feb2000,Q13aHiEd_Sep2000,Q13aHiEd_Feb2001,Q13aHiEd_Sep2001,Q13aHiEd_Feb2002,Q13aHiEd_Sep2002,Q13aHiEd_Mar2003,Q16aHiEd_Sep2003,Q13aHiEd,,,,,,,
19,educhigh,educhigh,,20,Postgraduate degree or diploma,Q13aHiEd_Feb2000,Q13aHiEd_Sep2000,Q13aHiEd_Feb2001,Q13aHiEd_Sep2001,Q13aHiEd_Feb2002,Q13aHiEd_Sep2002,Q13aHiEd_Mar2003,Q16aHiEd_Sep2003,Q13aHiEd,,,,,,,
19,educhigh,educhigh,,21,Other,Q13aHiEd_Feb2000,Q13aHiEd_Sep2000,Q13aHiEd_Feb2001,Q13aHiEd_Sep2001,Q13aHiEd_Feb2002,Q13aHiEd_Sep2002,Q13aHiEd_Mar2003,Q16aHiEd_Sep2003,Q13aHiEd,,,,,,,
19,educhigh,educhigh,,22,Don't know,Q13aHiEd_Feb2000,Q13aHiEd_Sep2000,Q13aHiEd_Feb2001,Q13aHiEd_Sep2001,Q13aHiEd_Feb2002,Q13aHiEd_Sep2002,Q13aHiEd_Mar2003,Q16aHiEd_Sep2003,Q13aHiEd,,,,,,,
19,educhigh,educhigh,,99,Unspecified,Q13aHiEd_Feb2000,Q13aHiEd_Sep2000,Q13aHiEd_Feb2001,Q13aHiEd_Sep2001,Q13aHiEd_Feb2002,Q13aHiEd_Sep2002,Q13aHiEd_Mar2003,Q16aHiEd_Sep2003,Q13aHiEd,,,,,,,
480,EducHigh2,educhigh2,,0,No schooling,,,,,,,,,,Q16aHiEd,Q13aHiEd,,,,,
480,EducHigh2,educhigh2,,1,Grade R/0,,,,,,,,,,Q16aHiEd,Q13aHiEd,,,,,
480,EducHigh2,educhigh2,,2,Sub A/Grade 1,,,,,,,,,,Q16aHiEd,Q13aHiEd,,,,,
480,EducHigh2,educhigh2,,3,Sub B/Grade 2,,,,,,,,,,Q16aHiEd,Q13aHiEd,,,,,
480,EducHigh2,educhigh2,,4,Grade 3/Standard 1,,,,,,,,,,Q16aHiEd,Q13aHiEd,,,,,
480,EducHigh2,educhigh2,,5,Grade 4/Standard 2,,,,,,,,,,Q16aHiEd,Q13aHiEd,,,,,
480,EducHigh2,educhigh2,,6,Grade 5/Standard 3,,,,,,,,,,Q16aHiEd,Q13aHiEd,,,,,
480,EducHigh2,educhigh2,,7,Grade 6/Standard 4,,,,,,,,,,Q16aHiEd,Q13aHiEd,,,,,
480,EducHigh2,educhigh2,,8,Grade 7/Standard 5,,,,,,,,,,Q16aHiEd,Q13aHiEd,,,,,
480,EducHigh2,educhigh2,,9,Grade 8/Standard 6/Form 1,,,,,,,,,,Q16aHiEd,Q13aHiEd,,,,,
480,EducHigh2,educhigh2,,10,Grade 9/Standard 7/Form 2,,,,,,,,,,Q16aHiEd,Q13aHiEd,,,,,
480,EducHigh2,educhigh2,,11,Grade 10/Standard 8/Form 3,,,,,,,,,,Q16aHiEd,Q13aHiEd,,,,,
480,EducHigh2,educhigh2,,12,Grade 11/Standard 9/Form 4,,,,,,,,,,Q16aHiEd,Q13aHiEd,,,,,
480,EducHigh2,educhigh2,,13,Grade 12/Standard 10/Form 5/Matric,,,,,,,,,,Q16aHiEd,Q13aHiEd,,,,,
480,EducHigh2,educhigh2,,14,NTC I,,,,,,,,,,Q16aHiEd,Q13aHiEd,,,,,
480,EducHigh2,educhigh2,,15,NTC II,,,,,,,,,,Q16aHiEd,Q13aHiEd,,,,,
480,EducHigh2,educhigh2,,16,NTC III,,,,,,,,,,Q16aHiEd,Q13aHiEd,,,,,
480,EducHigh2,educhigh2,,17,Certificate with less than Grade 12/Std 10,,,,,,,,,,Q16aHiEd,Q13aHiEd,,,,,
480,EducHigh2,educhigh2,,18,Diploma with less than Grade 12/Std 10,,,,,,,,,,Q16aHiEd,Q13aHiEd,,,,,
480,EducHigh2,educhigh2,,19,Certificate with Grade 12/Std 10,,,,,,,,,,Q16aHiEd,Q13aHiEd,,,,,
